"product_id","license_plate","car_year","car_brand","car_model","car_type","car_transmission","car_engine_size","car_color","inspection_score","agent_id","branch_id","buy_date","buy_price","admin_fee","aging_fee","sell_date","sell_price"
134231,3926,1996,ISUZU,PANTHER,HI-GRADE 2.3 MT SOLAR,MT,"2.3",Hitam,107,44965,43,2022-08-31,3750.0,250.0,0.0,2022-08-31,4000.0
138184,3586,1993,TOYOTA,STARLET,EP 817,MT,"1.3",Hitam,87,2933,21,2022-08-16,3125.0,250.0,0.0,2022-08-16,3375.0
137951,873,2009,NISSAN,GRAND LIVINA,XV,MT,"1.5",Silver,107,64431,31,2022-09-07,9000.0,250.0,0.0,2022-09-08,9250.0
133765,7735,2019,DAIHATSU,AYLA,M,MT,"1.0",Putih,107,53227,65,2022-08-29,11725.0,250.0,0.0,2022-10-06,11975.0
140066,2953,2013,TOYOTA,RUSH,G,MT,"1.5",Hitam,107,146404,291,2022-08-18,11250.0,250.0,0.0,2022-08-18,11500.0
142412,1787,2014,TOYOTA,NEW AGYA,G TRD,AT,"1.2",SILVER METALIK,107,48647,367,2022-08-22,10000.0,250.0,62.0,2022-09-03,10312.0
132798,2929,2017,HONDA,BR-V,Prestige,AT,"1.5",Putih,107,129144,374,2022-08-03,22000.0,344.0,0.0,2022-08-04,22344.0
134155,640,2021,HONDA,ALL NEW BRIO,SATYA E,MT,"1.2",Hitam,105,24551,93,2022-08-20,19250.0,344.0,0.0,2022-09-23,19594.0
139689,5542,2017,DAIHATSU,GRAND NEW XENIA,R,MT,"1.3",Hitam,107,112662,71,2022-08-11,15625.0,250.0,62.0,2022-08-21,15938.0
142004,4525,2017,DAIHATSU,AYLA,X ELEGANT,AT,"1.0",Merah,107,35593,127,2022-09-03,10688.0,250.0,0.0,2022-09-03,10938.0
127250,1086,2016,HONDA,MOBILIO,E CVT,AT,"1.5",Hitam,107,49373,150,2022-08-01,16875.0,266.0,0.0,2022-08-04,17141.0
140263,7607,2019,TOYOTA,NEW RUSH,TRD Sportivo,AT,"1.5",COKLAT METALIK,107,18084,26,2022-08-17,26875.0,438.0,0.0,2022-08-27,27312.0
127184,5374,2017,TOYOTA,Haice,Commuter,MT,"2.5",Putih,107,93933,276,2022-08-02,36288.0,531.0,0.0,2022-08-03,36819.0
136552,867,2017,HONDA,JAZZ,GK5 1.5 RS CVT,AT,"1.5",Hitam,103,100998,305,2022-08-08,25625.0,438.0,62.0,2022-08-31,26125.0
139340,8176,2020,DAIHATSU,SIGRA,X,MT,"1.2",Merah,106,64431,31,2022-08-25,12250.0,250.0,0.0,2022-08-25,12500.0
139988,8317,2018,HONDA,HRV,S,MT,"1.5",Hitam,100,134383,140,2022-08-19,15562.0,250.0,0.0,2022-08-19,15812.0
136771,6590,2013,TOYOTA,ALL NEW AVANZA,VVT-i G,MT,"1.3",Puith,107,52938,122,2022-09-02,12500.0,250.0,0.0,2022-09-10,12750.0
128117,2893,2004,TOYOTA,ALPHARD,G,AT,"2.4",Hitam,107,120088,371,2022-08-22,15625.0,250.0,0.0,2022-08-22,15875.0
134723,3235,2017,HONDA,ALL NEW JAZZ,RS CVT,AT,"1.5",Silver,106,5415,402,2022-08-27,26875.0,438.0,62.0,2022-09-10,27312.0
134023,5289,2011,TOYOTA,INNOVA,G Luxury,AT,"2.0",HITAM METALIK,100,1745,23,2022-08-18,15625.0,250.0,0.0,2022-08-18,15875.0
128419,5026,1998,ISUZU,PANTHER,TBR54 STD,MT,"2.5",Abu-abu,102,140431,327,2022-08-21,5662.0,250.0,0.0,2022-08-21,5912.0
132683,4652,2009,HONDA,FREED,"PSD 1,5 AT BENSIN",AT,"1.5",Hitam,107,139645,406,2022-08-24,13062.0,250.0,0.0,2022-08-26,13312.0
137893,7689,2013,SUZUKI,ERTIGA,GL,MT,"1.4",Silver,107,4444,131,2022-08-31,11250.0,250.0,0.0,2022-09-01,11500.0
133346,4064,2007,TOYOTA,INNOVA,V Bensin,MT,"2.0",Hijau Metalik,107,100617,72,2022-08-28,13188.0,250.0,0.0,2022-08-28,13438.0
128753,3784,2013,TOYOTA,ALL NEW AVANZA,VVT-i E,MT,"1.3",Silver Metalic,106,26984,378,2022-08-04,12500.0,250.0,125.0,2022-08-23,12875.0
142707,890,2012,DAIHATSU,XENIA,R 1.3 MT,MT,"1.3",Putih,107,113368,275,2022-08-25,12875.0,250.0,0.0,2022-08-30,13125.0
134116,1889,2012,DAIHATSU,ALL NEW XENIA,X,MT,"1.3",BIRU TUA,107,5979,56,2022-08-27,11250.0,250.0,0.0,2022-08-27,11500.0
143331,5518,2018,TOYOTA,NEW AGYA,G TRD,MT,"1.2",Merah,107,43922,69,2022-08-22,11625.0,250.0,0.0,2022-08-22,11875.0
127202,5373,2011,TOYOTA,RUSH,S,MT,"1.5",Hitam,107,136017,137,2022-08-13,14375.0,250.0,0.0,2022-08-15,14625.0
137392,6753,2016,TOYOTA,AGYA,G TRD,MT,"1.0",Putih,107,14373,97,2022-09-04,10625.0,250.0,125.0,2022-09-25,11000.0
143041,8377,2013,DAIHATSU,ALL NEW XENIA,M FAMILY,MT,"1.0",Putih,105,54707,131,2022-08-27,11250.0,250.0,0.0,2022-09-06,11500.0
134558,6607,2020,TOYOTA,NEW AVANZA,VVT-i E,MT,"1.3",Hitam,107,2138,97,2022-08-08,20625.0,344.0,188.0,2022-09-11,21156.0
128525,7372,2014,DAIHATSU,ALL NEW XENIA,R SPORTY,MT,"1.3",Silver Metalic,107,127809,306,2022-08-24,13750.0,250.0,62.0,2022-09-06,14062.0
140885,6652,2002,TOYOTA,NEW KIJANG,LGX,MT,"2.0",Silver Metalic,104,92631,153,2022-08-14,8125.0,250.0,0.0,2022-08-14,8375.0
127018,1550,2016,TOYOTA,ALL NEW GRAND INNOVA,G Bensin,AT,"2.0",Hitam,107,22582,308,2022-08-20,25000.0,344.0,0.0,2022-08-22,25344.0
132938,3498,2012,HONDA,FREED,"PSD 1,5 AT BENSIN",AT,"1.5",Putih Mutiara,107,115140,405,2022-08-12,15312.0,250.0,0.0,2022-08-12,15562.0
141743,4078,2017,DAIHATSU,AYLA,X,MT,"1.0",Merah,101,151605,72,2022-08-22,7875.0,250.0,0.0,2022-08-22,8125.0
133928,8242,2010,TOYOTA,AVANZA,G,MT,"1.3",Silver Metalic,61,141751,130,2022-08-11,10000.0,250.0,0.0,2022-08-11,10250.0
137657,466,2015,TOYOTA,ALL NEW AVANZA,VVT-i G,MT,"1.3",Hitam,107,148544,37,2022-08-18,14375.0,250.0,0.0,2022-08-18,14625.0
136989,951,2012,TOYOTA,NEW AVANZA,VVT-i G,MT,"1.3",Hitam,107,17843,3,2022-08-20,13250.0,250.0,62.0,2022-09-03,13562.0
109050,6737,2012,TOYOTA,NEW AVANZA,VVT-i G,MT,"1.3",Puith,104,1742,23,2022-09-05,13750.0,250.0,0.0,2022-09-06,14000.0
127432,3749,2002,TOYOTA,KIJANG,GRAND LONG KF 83,MT,"1.8",Merah,107,136952,34,2022-07-30,5625.0,250.0,0.0,2022-07-30,5875.0
135786,3600,2006,TOYOTA,AVANZA,G,MT,"1.3",Hitam,93,144192,22,2022-09-02,9375.0,250.0,0.0,2022-09-02,9625.0
133013,1492,2014,TOYOTA,NEW AVANZA,VVT-i G,MT,"1.3",HITAM METALIK,107,50245,151,2022-08-24,15250.0,250.0,0.0,2022-09-05,15500.0
142882,1232,2017,MITSUBISHI,PAJERO,DAKAR 4X2,AT,"2.5",Hitam,107,96427,308,2022-09-11,40625.0,625.0,0.0,2022-09-12,41250.0
134863,4079,1997,DAIHATSU,ROCKY,F 75,MT,"2.8",MERAH METALIK,107,1366,35,2022-08-09,11875.0,250.0,0.0,2022-08-09,12125.0
137278,8026,1996,MITSUBISHI,LANCER,SOHC 1.6 MT BENSIN,MT,"1.6",Merah,107,2298,19,2022-09-02,1875.0,250.0,0.0,2022-09-02,2125.0
132665,4786,2010,TOYOTA,AVANZA,G,MT,"1.3",Hitam,107,40043,396,2022-08-03,11750.0,250.0,0.0,2022-08-07,12000.0
136635,7676,2018,DAIHATSU,SIGRA,M,MT,"1.0",Hitam,107,38704,75,2022-09-05,12125.0,250.0,0.0,2022-09-06,12375.0
126444,8369,2016,TOYOTA,GRAND NEW VELOZ,GRAND NEW VELOZ,MT,"1.3",Putih,107,1265,50,2022-08-13,15000.0,250.0,0.0,2022-09-18,15250.0
128433,1779,2015,TOYOTA,ETIOS,G 1.2 MT BENSIN,MT,"1.2",Merah,107,119510,305,2022-08-20,10625.0,250.0,0.0,2022-08-31,10875.0
133539,2421,2008,HONDA,CR-V,RE 1 2WD,AT,"2.3",Hitam,101,137421,2,2022-08-21,12788.0,250.0,0.0,2022-08-23,13038.0
135335,4916,2011,TOYOTA,AVANZA,G,MT,"1.3",HITAM METALIK,107,143852,128,2022-08-21,6250.0,250.0,0.0,2022-08-21,6500.0
127495,5182,2018,HONDA,BRIO,SATYA E,AT,"1.2",HITAM MUTIARA,107,137041,130,2022-07-30,15375.0,250.0,0.0,2022-07-31,15625.0
133068,3271,2013,TOYOTA,NEW AVANZA,VVT-i G,MT,"1.3",Hitam,107,18550,368,2022-08-17,14375.0,250.0,0.0,2022-08-17,14625.0
136278,3217,2010,HONDA,JAZZ,GE8 1.5 MT BENSIN,MT,"1.5",Hitam,107,136649,2,2022-08-20,10288.0,250.0,0.0,2022-08-20,10538.0
126801,1489,2010,TOYOTA,INNOVA,E Standar,MT,"2.0",Hitam,107,109240,35,2022-08-22,11875.0,250.0,0.0,2022-08-23,12125.0
134909,3064,2015,HONDA,FREED,"PSD 1,5 AT BENSIN",AT,"1.5",Hitam,104,128885,374,2022-08-29,16875.0,266.0,0.0,2022-08-31,17141.0
140527,6724,2019,DAIHATSU,AYLA,X,MT,"1.0",ABU ABU METALIK,106,18005,23,2022-09-04,11250.0,250.0,0.0,2022-09-04,11500.0
137687,2674,2013,NISSAN,ALL NEW GRAND LIVINA,X GEAR,AT,"1.5",Silver,107,4790,48,2022-08-30,11875.0,250.0,188.0,2022-09-21,12125.0
127467,6548,2015,DAIHATSU,ALL NEW XENIA,M,MT,"1.0",Silver Metalic,107,140546,133,2022-08-12,11062.0,250.0,750.0,2022-10-19,7500.0
138527,3931,2018,DAIHATSU,AYLA,X,MT,"1.0",Hitam,107,76566,278,2022-08-31,10500.0,250.0,0.0,2022-09-06,10750.0
137429,6966,2013,NISSAN,GRAND LIVINA,SV,MT,"1.5",Abu-abu,61,5129,9,2022-08-26,8788.0,250.0,250.0,2022-09-24,9288.0
141980,1185,2011,SUZUKI,APV,GC 415 V DLX,MT,"1.5",Putih,107,88804,155,2022-09-02,7750.0,250.0,0.0,2022-09-02,8000.0
137652,8180,2009,MITSUBISHI,PAJERO,Super Exceed,AT,"2.5",Hitam,105,18410,49,2022-08-18,18750.0,266.0,0.0,2022-08-19,19016.0
137704,2110,2017,TOYOTA,CALYA,G,AT,"1.2",Abu-abu,107,1107,382,2022-08-30,13750.0,250.0,0.0,2022-09-04,14000.0
139855,2790,2013,HONDA,JAZZ,RS,AT,"1.5",Putih,107,64059,272,2022-09-10,15812.0,266.0,0.0,2022-09-15,16078.0
134776,4025,2006,ISUZU,NEW PANTHER,Touring,MT,"2.5",COKLAT,107,64508,278,2022-08-14,11625.0,250.0,62.0,2022-08-27,11938.0
128255,947,2008,NISSAN,SERENA,Serena CT Matic,AT,"2.0",Hitam,107,125091,371,2022-07-31,10000.0,250.0,0.0,2022-07-31,10250.0
138484,4817,2003,TOYOTA,KIJANG,LGX 1.8 MT BENSIN,MT,"1.8",BIRU METALIK,107,32657,124,2022-08-25,6250.0,250.0,0.0,2022-08-25,6500.0
143266,3638,2015,SUZUKI,ERTIGA,AV1414F SDX (4x2) MT,MT,"1.4",HITAM METALIK,107,2932,21,2022-08-23,13125.0,250.0,0.0,2022-08-23,13375.0
135485,1178,2017,MITSUBISHI,PAJERO,SPORT 2.4 DAKAR 4X2 AT,AT,"2.4",Putih Mutiara,107,6804,291,2022-08-21,51162.0,844.0,188.0,2022-09-29,52194.0
138719,4291,2001,TOYOTA,Krista,"2.5 MT SOLAR",MT,"2.5",Silver,107,18576,273,2022-08-26,8750.0,250.0,0.0,2022-08-26,9000.0
140694,5256,2009,NISSAN,GRAND LIVINA,XV Ultimate,AT,"1.5",Abu-abu,99,92727,1,2022-09-08,9625.0,250.0,0.0,2022-09-08,9875.0
139169,4980,2014,DAIHATSU,GRAN MAX,Standar PU,MT,"1.3",Hitam,105,59176,142,2022-08-27,8125.0,250.0,0.0,2022-08-27,8375.0
143473,2213,2005,TOYOTA,INNOVA,E Standar,MT,"2.0",BIRU METALIK,107,2848,367,2022-09-02,10000.0,250.0,0.0,2022-09-02,10250.0
137558,4067,2014,SUZUKI,ERTIGA,GX,MT,"1.4",ABU_ABU metalik,98,143857,22,2022-08-23,12500.0,250.0,0.0,2022-08-24,12750.0
136083,6092,2014,HONDA,ALL NEW CR-V,Prestige,AT,"2.4",Putih Mutiara,107,54988,132,2022-09-02,27500.0,438.0,438.0,2022-10-13,28375.0
136719,4837,2018,TOYOTA,CALYA,G,MT,"1.2",Putih,107,118739,41,2022-08-31,14250.0,250.0,0.0,2022-09-04,14500.0
139774,4454,2015,HONDA,BRIO,SATYA E,AT,"1.2",Merah,107,143895,143,2022-08-13,11250.0,250.0,0.0,2022-08-13,11500.0
